representation,condition,channel,score_scope,n,mean_delta,median_delta,mean_absolute_delta,max_absolute_delta
R1,nonlinear_square,nonlinear,target,100,0.019875038019056067,0.018797022490404887,0.019875038019056067,0.0407552723626414
R1,nonlinear_square,nonlinear,max,100,0.019875038019056067,0.018797022490404887,0.019875038019056067,0.0407552723626414
R1,nonlinear_square,combined,target,100,0.010748231618266818,0.009338881146716306,0.010748231618266829,0.039737597339631
R1,nonlinear_square,combined,max,100,0.0012661641920603294,0.0,0.0012661641920603522,0.03422288413303243
R1,nonlinear_tanh,linear,target,100,-1.609823385706477e-17,0.0,7.827072323607353e-17,2.220446049250313e-16
R1,nonlinear_tanh,linear,max,100,-1.609823385706477e-17,0.0,7.827072323607353e-17,2.220446049250313e-16
R1,nonlinear_tanh,nonlinear,target,100,0.022297523881969452,0.02060115845891082,0.022297523881969452,0.04783299033328295
R1,nonlinear_tanh,nonlinear,max,100,0.022297523881969452,0.02060115845891082,0.022297523881969452,0.04783299033328295
R1,nonlinear_tanh,combined,target,100,-1.609823385706477e-17,0.0,7.827072323607353e-17,2.220446049250313e-16
R1,nonlinear_tanh,combined,max,100,-1.609823385706477e-17,0.0,7.827072323607353e-17,2.220446049250313e-16
R1,global_common,linear,target,100,-7.771561172376097e-18,0.0,4.662936703425657e-17,2.220446049250313e-16
R1,global_common,linear,max,100,-7.771561172376097e-18,0.0,6.217248937900877e-17,2.220446049250313e-16
R1,global_common,nonlinear,target,100,0.033318893570171176,0.03253839089078871,0.033318893570171176,0.06823019261346419
R1,global_common,nonlinear,max,100,0.05108221479152969,0.0488796972786602,0.05108221479152969,0.10939567116693574
R1,global_common,combined,target,100,-7.771561172376097e-18,0.0,4.662936703425657e-17,2.220446049250313e-16
R1,global_common,combined,max,100,-7.771561172376097e-18,0.0,6.217248937900877e-17,2.220446049250313e-16
R2,null,linear,target,100,-4.510281037539699e-19,0.0,1.3843093338294921e-17,4.163336342344337e-17
R2,null,linear,max,100,-5.551115123125783e-19,0.0,1.7486012637846216e-17,8.326672684688674e-17
R2,null,nonlinear,target,100,-0.00011605647490792973,-9.75915043437128e-05,0.0005411068721934651,0.0021274909492748767
R2,null,nonlinear,max,100,0.00013389132014781196,0.00010656648752134686,0.0007255573633814116,0.002548718317524559
R2,null,combined,target,100,-4.510281037539699e-19,0.0,1.3843093338294921e-17,4.163336342344337e-17
R2,null,combined,max,100,-5.551115123125783e-19,0.0,1.7486012637846216e-17,8.326672684688674e-17
R2,direct_linear,linear,target,100,1.3322676295501878e-17,0.0,7.771561172376095e-17,2.220446049250313e-16
R2,direct_linear,linear,max,100,1.3322676295501878e-17,0.0,7.771561172376095e-17,2.220446049250313e-16
R2,direct_linear,nonlinear,target,100,0.06965482461338171,0.06917887765358105,0.06965482461338171,0.11293451189512171
