candidate,replicate,linear_max,nonlinear_max,combined_max
rff64,81,0.14364189573107344,0.0170357481519709,0.14364189573107344
rff128,81,0.14364189573107344,0.019930129116683865,0.14364189573107344
ensemble4x32,81,0.14364189573107344,0.01760916882198857,0.14364189573107344
rff24,82,0.11918925946227836,0.01581647487809834,0.11918925946227836
rff64,82,0.11918925946227836,0.01653737585241905,0.11918925946227836
rff128,82,0.11918925946227836,0.015429126151426938,0.11918925946227836
ensemble4x32,82,0.11918925946227836,0.017414700473792472,0.11918925946227836
rff24,83,0.1356837530215569,0.022872564125567613,0.1356837530215569
rff64,83,0.1356837530215569,0.017918580258584636,0.1356837530215569
rff128,83,0.1356837530215569,0.017158641257560232,0.1356837530215569
ensemble4x32,83,0.1356837530215569,0.017886662710205933,0.1356837530215569
rff24,84,0.12527690960839033,0.011909794212947362,0.12527690960839033
rff64,84,0.12527690960839033,0.01134309192420061,0.12527690960839033
rff128,84,0.12527690960839033,0.011796122609890507,0.12527690960839033
ensemble4x32,84,0.12527690960839033,0.010594255075165303,0.12527690960839033
rff24,85,0.16875914053500246,0.017578796895064714,0.16875914053500246
rff64,85,0.16875914053500246,0.018942519542232056,0.16875914053500246
rff128,85,0.16875914053500246,0.017516781851963033,0.16875914053500246
ensemble4x32,85,0.16875914053500246,0.01838190796305096,0.16875914053500246
rff24,86,0.11205932790325913,0.012376483720240507,0.11205932790325913
rff64,86,0.11205932790325913,0.013362926961713973,0.11205932790325913
rff128,86,0.11205932790325913,0.010780989246921967,0.11205932790325913
ensemble4x32,86,0.11205932790325913,0.011966981817299289,0.11205932790325913
rff24,87,0.11846457600925016,0.022479720940133938,0.11846457600925016
rff64,87,0.11846457600925016,0.021591289296762194,0.11846457600925016
rff128,87,0.11846457600925016,0.018993125249508552,0.11846457600925016
ensemble4x32,87,0.11846457600925016,0.01926269089080885,0.11846457600925016
rff24,88,0.12117635908945983,0.01347927853505224,0.12117635908945983
rff64,88,0.12117635908945983,0.015739664698234478,0.12117635908945983
rff128,88,0.12117635908945983,0.015087762066320079,0.12117635908945983
ensemble4x32,88,0.12117635908945983,0.015377497474987163,0.12117635908945983
rff24,89,0.1237968720142617,0.013562279312547876,0.1237968720142617
rff64,89,0.1237968720142617,0.013551847815194546,0.1237968720142617
rff128,89,0.1237968720142617,0.013091212169499943,0.1237968720142617
ensemble4x32,89,0.1237968720142617,0.012272870158715393,0.1237968720142617
rff24,90,0.10884667623339613,0.014330253522716878,0.10884667623339613
rff64,90,0.10884667623339613,0.016549607978685463,0.10884667623339613
rff128,90,0.10884667623339613,0.016073940203276578,0.10884667623339613
ensemble4x32,90,0.10884667623339613,0.015736312976336667,0.10884667623339613
rff24,91,0.13915773687825858,0.012495214961101762,0.13915773687825858
rff64,91,0.13915773687825858,0.013545885151764714,0.13915773687825858
rff128,91,0.13915773687825858,0.011405506652265682,0.13915773687825858
ensemble4x32,91,0.13915773687825858,0.013043391248533034,0.13915773687825858
rff24,92,0.15938495508668152,0.028592871916648534,0.15938495508668152
rff64,92,0.15938495508668152,0.03497502054666888,0.15938495508668152
rff128,92,0.15938495508668152,0.02618877476677467,0.15938495508668152
ensemble4x32,92,0.15938495508668152,0.02442249273381449,0.15938495508668152
rff24,93,0.10779634119666222,0.013126794737455805,0.10779634119666222
rff64,93,0.10779634119666222,0.018650689113783446,0.10779634119666222
rff128,93,0.10779634119666222,0.014564371458236731,0.10779634119666222
ensemble4x32,93,0.10779634119666222,0.013724775749761765,0.10779634119666222
rff24,94,0.1415789225684869,0.021457261176970385,0.1415789225684869
rff64,94,0.1415789225684869,0.017558991919014454,0.1415789225684869
rff128,94,0.1415789225684869,0.020883296348968163,0.1415789225684869
ensemble4x32,94,0.1415789225684869,0.01803268735762563,0.1415789225684869
rff24,95,0.17113370783407697,0.01639631235663685,0.17113370783407697
rff64,95,0.17113370783407697,0.016326836389982884,0.17113370783407697
rff128,95,0.17113370783407697,0.013026210790309668,0.17113370783407697
ensemble4x32,95,0.17113370783407697,0.013505227197001604,0.17113370783407697
rff24,96,0.12003203146468341,0.024561756549369342,0.12003203146468341
rff64,96,0.12003203146468341,0.02325872884049341,0.12003203146468341
rff128,96,0.12003203146468341,0.027765232219954892,0.12003203146468341
ensemble4x32,96,0.12003203146468341,0.02757323437515691,0.12003203146468341
rff24,97,0.1344657908857396,0.017616975667359872,0.1344657908857396
rff64,97,0.1344657908857396,0.01995481407236812,0.1344657908857396
rff128,97,0.1344657908857396,0.02100248162298767,0.1344657908857396
ensemble4x32,97,0.1344657908857396,0.020715545067158777,0.1344657908857396
rff24,98,0.131320288185491,0.015579421252217745,0.131320288185491
rff64,98,0.131320288185491,0.01582284189962011,0.131320288185491
rff128,98,0.131320288185491,0.014293280283684696,0.131320288185491
ensemble4x32,98,0.131320288185491,0.014153076320923472,0.131320288185491
rff24,99,0.1575916810860893,0.01923295575491592,0.1575916810860893
rff64,99,0.1575916810860893,0.016035792703251815,0.1575916810860893
rff128,99,0.1575916810860893,0.016242878179747514,0.1575916810860893
ensemble4x32,99,0.1575916810860893,0.013797171194978171,0.1575916810860893
rff24,100,0.11752528245444063,0.012988599475402348,0.11752528245444063
rff64,100,0.11752528245444063,0.012465620116328216,0.11752528245444063
rff128,100,0.11752528245444063,0.011737672165366815,0.11752528245444063
ensemble4x32,100,0.11752528245444063,0.011059559685409838,0.11752528245444063
rff24,101,0.10227146959385992,0.012728478943056851,0.10227146959385992
rff64,101,0.10227146959385992,0.012207984455922447,0.10227146959385992
rff128,101,0.10227146959385992,0.011092091025171611,0.10227146959385992
ensemble4x32,101,0.10227146959385992,0.011390079265360394,0.10227146959385992
rff24,102,0.126984442198656,0.012094977425009923,0.126984442198656
rff64,102,0.126984442198656,0.011680427771394017,0.126984442198656
rff128,102,0.126984442198656,0.011640881588446918,0.126984442198656
