candidate,condition,replicate,target_linear,target_nonlinear,target_combined,target_linear_p,target_nonlinear_p,target_combined_p,linear_max_p,nonlinear_max_p,combined_max_p
rff64,nonlinear_square,36,0.14309426177316992,0.05977160566196452,0.14309426177316992,0.292,0.0005,0.292,0.0215,0.0005,0.0215
rff128,nonlinear_square,36,0.14309426177316992,0.0774850114093255,0.14309426177316992,0.292,0.0005,0.292,0.0215,0.0005,0.0215
ensemble4x32,nonlinear_square,36,0.14309426177316992,0.09146259779896797,0.14309426177316992,0.292,0.0005,0.292,0.0215,0.0005,0.0215
rff24,nonlinear_square,37,0.1244280386912691,0.08674935259357436,0.1244280386912691,0.638,0.0005,0.638,0.63,0.0005,0.63
rff64,nonlinear_square,37,0.1244280386912691,0.051706060134460885,0.1244280386912691,0.638,0.0005,0.638,0.63,0.0005,0.63
rff128,nonlinear_square,37,0.1244280386912691,0.061342011150954584,0.1244280386912691,0.638,0.0005,0.638,0.63,0.0005,0.63
ensemble4x32,nonlinear_square,37,0.1244280386912691,0.07040441685832645,0.1244280386912691,0.638,0.0005,0.638,0.63,0.0005,0.63
rff24,nonlinear_square,38,0.0988893535220627,0.11511185087625737,0.11511185087625737,0.974,0.0005,0.805,0.855,0.0005,0.805
rff64,nonlinear_square,38,0.0988893535220627,0.07064610075761761,0.0988893535220627,0.974,0.0005,0.974,0.855,0.0005,0.855
rff128,nonlinear_square,38,0.0988893535220627,0.08499308020847002,0.0988893535220627,0.974,0.0005,0.974,0.855,0.0005,0.855
ensemble4x32,nonlinear_square,38,0.0988893535220627,0.10032785471172906,0.10032785471172906,0.974,0.0005,0.968,0.855,0.0005,0.855
rff24,nonlinear_square,39,0.06564831783988792,0.06691790393721342,0.06691790393721342,1.0,0.0005,1.0,0.263,0.0005,0.263
rff64,nonlinear_square,39,0.06564831783988792,0.044934625562981625,0.06564831783988792,1.0,0.0005,1.0,0.263,0.0005,0.263
rff128,nonlinear_square,39,0.06564831783988792,0.06155811445827003,0.06564831783988792,1.0,0.0005,1.0,0.263,0.0005,0.263
ensemble4x32,nonlinear_square,39,0.06564831783988792,0.0649788352036941,0.06564831783988792,1.0,0.0005,1.0,0.263,0.0005,0.263
rff24,nonlinear_square,40,0.05197148633417535,0.12633256574214533,0.12633256574214533,1.0,0.0005,0.605,0.285,0.0005,0.285
rff64,nonlinear_square,40,0.05197148633417535,0.074941949061261,0.074941949061261,1.0,0.0005,1.0,0.285,0.0005,0.285
rff128,nonlinear_square,40,0.05197148633417535,0.09701509109552944,0.09701509109552944,1.0,0.0005,0.9835,0.285,0.0005,0.285
ensemble4x32,nonlinear_square,40,0.05197148633417535,0.11199918580647945,0.11199918580647945,1.0,0.0005,0.853,0.285,0.0005,0.285
rff24,nonlinear_square,41,0.15533898541514518,0.10809161888959613,0.15533898541514518,0.141,0.0005,0.141,0.141,0.0005,0.141
rff64,nonlinear_square,41,0.15533898541514518,0.07286782605858332,0.15533898541514518,0.141,0.0005,0.141,0.141,0.0005,0.141
rff128,nonlinear_square,41,0.15533898541514518,0.09640179069528712,0.15533898541514518,0.141,0.0005,0.141,0.141,0.0005,0.141
ensemble4x32,nonlinear_square,41,0.15533898541514518,0.10681645884349185,0.15533898541514518,0.141,0.0005,0.141,0.141,0.0005,0.141
rff24,nonlinear_square,42,0.1424502262714683,0.18057509040018116,0.18057509040018116,0.3025,0.0005,0.028,0.1875,0.0005,0.028
rff64,nonlinear_square,42,0.1424502262714683,0.10251540557981058,0.1424502262714683,0.3025,0.0005,0.3025,0.1875,0.0005,0.1875
rff128,nonlinear_square,42,0.1424502262714683,0.12396694734487144,0.1424502262714683,0.3025,0.0005,0.3025,0.1875,0.0005,0.1875
ensemble4x32,nonlinear_square,42,0.1424502262714683,0.14579822618188365,0.14579822618188365,0.3025,0.0005,0.2505,0.1875,0.0005,0.1875
rff24,nonlinear_square,43,0.06071831177321955,0.11098275510921306,0.11098275510921306,1.0,0.0005,0.8695,0.712,0.0005,0.712
rff64,nonlinear_square,43,0.06071831177321955,0.06454988599678753,0.06454988599678753,1.0,0.0005,1.0,0.712,0.0005,0.712
rff128,nonlinear_square,43,0.06071831177321955,0.07535279015885779,0.07535279015885779,1.0,0.0005,1.0,0.712,0.0005,0.712
ensemble4x32,nonlinear_square,43,0.06071831177321955,0.08903558930518479,0.08903558930518479,1.0,0.0005,0.9985,0.712,0.0005,0.712
rff24,nonlinear_square,44,0.03846875956830777,0.1120700520303999,0.1120700520303999,1.0,0.0005,0.852,0.373,0.0005,0.373
rff64,nonlinear_square,44,0.03846875956830777,0.0669926425947777,0.0669926425947777,1.0,0.0005,1.0,0.373,0.0005,0.373
rff128,nonlinear_square,44,0.03846875956830777,0.08359489275787804,0.08359489275787804,1.0,0.0005,0.9995,0.373,0.0005,0.373
ensemble4x32,nonlinear_square,44,0.03846875956830777,0.0973539371348976,0.0973539371348976,1.0,0.0005,0.983,0.373,0.0005,0.373
rff24,nonlinear_square,45,0.05497991157913778,0.12148878727431549,0.12148878727431549,1.0,0.0005,0.7,0.5995,0.0005,0.5995
rff64,nonlinear_square,45,0.05497991157913778,0.07302425447616136,0.07302425447616136,1.0,0.0005,1.0,0.5995,0.0005,0.5995
rff128,nonlinear_square,45,0.05497991157913778,0.0953234950308076,0.0953234950308076,1.0,0.0005,0.9875,0.5995,0.0005,0.5995
ensemble4x32,nonlinear_square,45,0.05497991157913778,0.10944915813384991,0.10944915813384991,1.0,0.0005,0.8905,0.5995,0.0005,0.5995
rff24,nonlinear_square,46,0.10702411556986359,0.09124024859699628,0.10702411556986359,0.9125,0.0005,0.9125,0.138,0.0005,0.138
rff64,nonlinear_square,46,0.10702411556986359,0.05343312331561573,0.10702411556986359,0.9125,0.0005,0.9125,0.138,0.0005,0.138
rff128,nonlinear_square,46,0.10702411556986359,0.06339567734068344,0.10702411556986359,0.9125,0.0005,0.9125,0.138,0.0005,0.138
ensemble4x32,nonlinear_square,46,0.10702411556986359,0.07076962712952774,0.10702411556986359,0.9125,0.0005,0.9125,0.138,0.0005,0.138
rff24,nonlinear_square,47,0.10652423476840989,0.10691271128543582,0.10691271128543582,0.9195,0.0005,0.9135,0.1475,0.0005,0.1475
rff64,nonlinear_square,47,0.10652423476840989,0.061745337642525905,0.10652423476840989,0.9195,0.0005,0.9195,0.1475,0.0005,0.1475
rff128,nonlinear_square,47,0.10652423476840989,0.08415766253264315,0.10652423476840989,0.9195,0.0005,0.9195,0.1475,0.0005,0.1475
ensemble4x32,nonlinear_square,47,0.10652423476840989,0.09452122050358067,0.10652423476840989,0.9195,0.0005,0.9195,0.1475,0.0005,0.1475
rff24,nonlinear_square,48,0.07562708010651674,0.09410177232149333,0.09410177232149333,1.0,0.0005,0.991,0.583,0.0005,0.583
